"Points:0","Points:1","Points:2"
0.66667,0.33333,0
0.33333,0.66667,0
1.6667,0.33333,0
1.3333,0.66667,0
2.6667,0.33333,0
2.3333,0.66667,0
3.6667,0.33333,0
3.3333,0.66667,0
0.66667,1.3333,0
0.33333,1.6667,0
1.6667,1.3333,0
1.3333,1.6667,0
2.6667,1.3333,0
2.3333,1.6667,0
3.6667,1.3333,0
3.3333,1.6667,0
0.66667,2.3333,0
0.33333,2.6667,0
1.6667,2.3333,0
1.3333,2.6667,0
2.6667,2.3333,0
2.3333,2.6667,0
3.6667,2.3333,0
3.3333,2.6667,0
0.66667,3.3333,0
0.33333,3.6667,0
1.6667,3.3333,0
1.3333,3.6667,0
2.6667,3.3333,0
2.3333,3.6667,0
3.6667,3.3333,0
3.3333,3.6667,0
